Index,Failures
0,1
1,3
3,1
4,4
6,1
7,3
8,2
9,1
10,1
11,1
12,1
13,1
16,1
20,1
22,1
24,1
25,2
26,1
37,1
41,1
43,1
45,3
46,2
51,3
52,1
54,1
57,1
58,2
64,1
65,1
66,2
67,1
68,1
69,2
70,2
71,1
72,1
73,2
74,2
75,1
77,2
78,2
79,1
80,2
81,1
82,1
84,1
85,1
86,1
87,1
90,2
95,1
98,1
100,1
101,1
102,1
103,2
104,1
105,3
106,1
108,2
110,2
111,1
112,1
113,1
114,1
115,2
116,1
117,1
119,1
121,2
122,2
123,2
125,1
126,2
127,4
128,2
129,1
130,3
131,1
132,1
134,1
135,2
138,1
142,2
143,2
144,2
145,1
146,1
147,2
148,2
149,3
150,2
151,2
152,1
154,2
155,1
156,2
157,2
158,2
159,1
161,1
162,1
163,1
164,1
167,2
169,1
173,2
174,1
175,1
177,1
178,1
179,2
180,2
182,1
183,2
184,3
185,2
186,3
187,1
188,1
191,3
193,2
194,3
195,1
197,2
198,4
199,4
200,2
201,4
202,1
203,3
207,2
208,2
211,2
215,1
219,1
222,1
223,2
224,3
225,1
226,3
227,4
229,2
230,3
231,2
232,3
233,4
234,1
235,2
236,1
237,3
238,4
239,3
240,2
242,3
243,2
244,3
245,2
246,1
247,3
248,1
249,4
250,1
251,4
252,1
253,2
254,3
255,2
256,4
257,3
258,3
259,1
260,1
261,1
262,3
263,4
265,4
266,3
267,4
268,2
269,1
270,4
271,1
272,2
273,2
274,4
275,2
276,1
277,2
279,1
281,4
282,1
283,1
284,2
285,1
286,1
287,1
288,2
289,1
290,2
292,3
293,2
294,1
295,1
296,1
297,1
298,1
299,2
300,1
301,3
302,4
303,1
304,3
305,1
306,1
307,1
308,1
310,2
312,2
313,1
314,3
315,2
316,2
317,4
318,1
319,1
320,1
321,1
322,1
323,1
324,1
325,1
